Feed Pressure (Pa),Permeate Flow (L/h),Concentrate Flow (L/h),Differential Pressure (bar),Feed Water Temperature (°C),Total Dissolved Solids (ppm),Water Conductivity (µS/cm),Chlorine Concentration (mg/L),Total Operating Hours (h),Salt Rejection Rate (%),Fouling Index (SDI),Feed Water pH,Membrane Pore Size (nm),Membrane Condition,Final TDS (ppm)
306662.0436682031,175.3175923821787,123.92685648517379,2.3425328666348983,13.84471922208676,466.6027443136576,1027.196402824879,0.5571077140140716,3048.7411274842093,98.0876624056721,4.810794343936248,6.368577793195525,0.03001599479446808,Desgaste Severo,8.92301969567574
259894.28738559427,174.55099232893946,54.947054540842984,0.6267385010662146,12.29789112976222,1493.5634000195828,1163.5278982540372,0.6142244352077135,2189.901903637527,90.64911293222451,3.4833178191451455,7.722951731010269,0.025777086660469087,Desgaste Leve,139.66142682145912
537378.6476626433,102.42143683517912,136.531320822621,2.430423402803144,13.372338562795612,1084.4504039680405,818.3374262329088,0.12396221835091728,1906.3014650563794,96.3005055382838,2.3471166778027164,8.328271537667122,0.06278472250718264,Excelente Estado,40.119182634856635
236008.12046092586,88.0058308026115,161.82787225480106,1.0494975411034586,22.757548431614993,764.525875622546,1198.909218723336,1.4654778922280103,7109.038410941125,99.34945822280373,5.026432467594411,7.716284483368261,0.05869326809803435,Desgaste Severo,4.973560218400236
322472.2343551698,67.13055923672482,249.43849488453233,3.7621145111973595,30.642616753679658,1087.302087829465,747.1861675481508,1.3466627666221962,7675.738757306032,91.40401020812031,4.682388729745906,6.521583794635482,0.06934519708604922,Desgaste Severo,93.46437647671554
526309.6417882168,68.40286688675403,100.00355016404869,1.6596348180967946,34.38500336720216,1351.713429941671,1592.7080796028,0.23727850370826256,8286.068960694243,95.55224485319714,4.598232258571413,8.325285673269544,0.0674709864893735,Desgaste Severo,60.120903650256245
201620.38913297202,162.44462293896387,151.52871788231323,1.3358842216204405,10.50489829971087,717.6495225748056,688.4414517425362,1.4920662001287481,8620.736901627619,90.45669573087753,4.74194228670623,6.220411906654411,0.08852474789262224,Desgaste Severo,68.4874775252185
418660.5195538787,68.58054176232835,228.18954009229824,1.8887096899039701,27.675808244757228,1365.635437765632,1742.3718012745987,0.9262201896225146,8253.443322936899,94.2702448504528,5.531480368141423,8.431688113957382,0.005336024489403873,Mal Estado,78.24756681941776
243009.16482007992,83.23314882979787,214.24670135722164,1.7958548812377446,16.19716076732714,1276.4880819064338,1241.497842856174,1.3991950013772931,4225.461400873139,97.93823312396097,4.235333207613772,8.043599503768402,0.09034761950285364,Desgaste Moderado,26.318208449332793
595376.9693401156,51.83516350367776,148.33018991552996,1.7627329353494434,12.251286007850704,995.7179955342347,1704.12707494859,0.30219301759057604,2021.726631262469,98.26908805386412,2.665346295854325,6.536176553834129,0.007170261991872567,Desgaste Leve,17.23500173452671
591273.7510910976,77.1736720691463,109.51855480519113,2.076188654207255,27.949656746659535,565.0731591430256,1524.5673729271882,0.6082491334022903,5417.557722054674,90.15126739856265,2.173928646349871,6.71600755823096,0.03767693694648187,Excelente Estado,55.65254444649111
286431.4370242292,195.13795165453115,158.786763886595,1.9477858024232817,33.47872664811483,1082.3752322738387,1698.853514027373,0.5090701522732703,8027.020088076539,90.23298408025867,5.89385258899094,7.370827746547123,0.08271345340993644,Mal Estado,105.715761247523
349208.22010127804,55.58718783301013,115.038223891952,3.0554203520776153,28.907189460846137,1080.3135251101135,1855.872703333031,0.8900276317438229,3743.2929648917334,97.46723040998648,5.440593897975779,6.817281364433642,0.08963638719500287,Desgaste Severo,27.361852440791996
